Date,Fokontany,Location,Species,Sex,AgeYears,AgeMonths,PreviousVaccine,Page,Point,Commune
15-Apr-18,Campes des Maries,Campes des Maries,S,F,2,6,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,F,,3,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,2,,2017,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,3,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,F,1,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,7,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,5,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,1,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,4,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,F,5,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,8,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,4,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,F,6,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,4,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,20,,2015,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,M,2,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,8,,2017,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,1,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,2,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,1,,,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,M,4,,2015,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,F,3,,2015,1,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,15,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,1,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,6,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,10,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,1,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,,3,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,,3,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,5,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,6,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,2,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,12,,2015,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,,4,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,1,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,M,,6,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,F,1,6,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,2,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,2,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,5,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,,5,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,,6,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Sahavazo,Ambatolampy,A,M,2,,,2,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,2,,2017,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,1,,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,,3,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,1,3,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,F,1,,2015,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,12,,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,M,4,,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,M,3,,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,M,3,,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,,4,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,,4,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,1,,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,,7,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,6,,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,3,,2015,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,M,,3,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,1,6,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,1,,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,M,,4,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,M,,4,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,F,,4,,3,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,4,,2015,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,1,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,4,,2017,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,7,,2017,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,,4,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,2,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,F,1,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,F,2,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,1,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,,3,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,F,1,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,F,,4,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,F,1,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,1,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,16,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,8,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,1,,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,,3,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,1,6,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambarilava,Ambarilava,S,M,1,6,,4,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,1,,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,,3,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,1,,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,1,6,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,4,,2017,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,M,1,,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,5,,2015,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,S,F,3,,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,1,,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,,2,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,1,6,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,1,,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,M,,4,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,M,,4,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,6,,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,4,,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,,3,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,3,,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,,4,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,,2,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,,2,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,,2,,5,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,4,,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,4,,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,F,5,,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Campes des Maries,Campes des Maries,A,M,6,,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,S,M,2,,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,,6,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,2,,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,,2,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,F,,2,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,,2,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,,2,,6,Campes de Marie + Ambatolampy,Moramanga
15-Apr-18,Ambatolampy,Ambatolampy,A,M,,2,,6,Campes de Marie + Ambatolampy,Moramanga
