REF #,Date,Dog or Cat,Dog Name,Cat Name,Sex,Age (months),Distance Travelled (m),Owner Location,Vaccination Location,Commune,Previous Vaccination,Time Since Previous Vaccine,Last Vaccination Date,Spayed/Neutered
1,06-Sep-19,dog,bobby,,M,12,1000,Ambohimadera,Antanamandroso,Moramanga,,,,
2,06-Sep-19,cat,,mimie,F,10,1000,Ambohimadera,Antanamandroso,Moramanga,,,,
3,06-Sep-19,dog,milou,,M,12,1000,Antanamandroso ouest,Antanamandroso,Moramanga,,,,
4,06-Sep-19,dog,billy,,M,24,1000,Moramanga ambony,Antanamandroso,Moramanga,,,,
5,06-Sep-19,dog,milou,,F,4,500,Moramanga ambony,Antanamandroso,Moramanga,,,,
6,06-Sep-19,dog,conan,,F,24,2000,Antanamandroso Est,Antanamandroso,Moramanga,YES,17,01-Apr-18,
7,06-Sep-19,dog,brito,,F,10,1000,Ambohimadera,Antanamandroso,Moramanga,,,,
8,06-Sep-19,cat,,minosy,F,11,2000,Antanamandroso ouest,Antanamandroso,Moramanga,,,,
9,06-Sep-19,dog,dix,,M,9,1000,Antanamandroso ouest,Antanamandroso,Moramanga,,,,
10,06-Sep-19,dog,milou,,F,24,1000,Antanamandroso ouest,Antanamandroso,Moramanga,YES,16,13-Apr-18,
11,06-Sep-19,dog,doudou ,,M,10,1000,Tsaralalana,Antanamandroso,Moramanga,,,,
12,06-Sep-19,dog,bolo ,,M,4,2000,TSARALALANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
13,06-Sep-19,dog,vandamme,,F,6,2000,TSARALALANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
14,06-Sep-19,dog,bingo,,M,36,2000,AMBOHIMADERA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
15,06-Sep-19,cat,,minette,F,24,2000,AMBOHIMADERA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
16,06-Sep-19,cat,,mimi,M,12,2000,AMBOHIMADERA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
17,06-Sep-19,dog,merona,,M,5,1000,TSARAHONENANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
18,06-Sep-19,dog,balto,,F,5,1000,TSARAHONENANA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
19,06-Sep-19,dog,lemahihy,,M,7,2000,AMBOHIBE MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
20,06-Sep-19,dog,zordira,,M,5,2000,AMBOHIBE MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
21,06-Sep-19,dog,kanga,,M,7,2000,AMBOHIBE MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
22,06-Sep-19,cat,,michou,F,10,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
23,06-Sep-19,cat,,mimi,F,7,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
24,06-Sep-19,cat,,minette,F,4,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
25,06-Sep-19,cat,,mimi,M,72,2000,ANDASILAVA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
26,06-Sep-19,dog,billy,,M,12,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
27,06-Sep-19,dog,balisama,,F,12,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
28,06-Sep-19,dog,medine,,M,18,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
29,06-Sep-19,dog,max,,M,10,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
30,06-Sep-19,cat,,mimi,F,6,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
31,06-Sep-19,cat,,mimi,F,6,2000,AMBOHITRANJAVIDY MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
32,06-Sep-19,dog,rotsk,,M,10,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
33,06-Sep-19,dog,maleh,,M,5,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
34,06-Sep-19,dog,lava sofina,,F,5,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
35,06-Sep-19,dog,ranga,,F,24,2000,AMBARILAVA,Tsaralalana,Moramanga,NO,,NO,NO
36,06-Sep-19,dog,krifotra,,M,36,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
37,06-Sep-19,cat,,mimi,F,24,1000,TSARAHONENANA MORAMANGA,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
38,06-Sep-19,dog,ngerona,,F,24,1500,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
39,06-Sep-19,dog,sakay,,M,5,500,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
40,06-Sep-19,dog,bobby,,M,60,1500,TSARAFASINA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
41,06-Sep-19,cat,,Minette,M,6,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
42,06-Sep-19,cat,,Mimi,F,24,1000,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
43,06-Sep-19,dog,Bila,,M,12,700,MORANANGA VILLE,Tsaralalana,Moramanga,NO,,NO,NO
44,06-Sep-19,dog,bilo,,F,12,700,MORANANGA VILLE,Tsaralalana,Moramanga,NO,,NO,NO
45,06-Sep-19,dog,doggy,,M,24,500,Moramanga,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
46,06-Sep-19,dog,milou,,M,36,500,Moramanga,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
47,06-Sep-19,dog,jilo,,F,24,500,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
48,06-Sep-19,dog,kavanga,,F,4,500,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
49,06-Sep-19,dog,lemara,,M,60,1000,TSARAMANDROSO  MORAMANGA,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
50,06-Sep-19,dog,volizy,,f,7,1000,Moramanga,Tsaralalana,Moramanga,NO,,NO,NO
51,06-Sep-19,dog,ngilo,,f,7,1000,Moramanga,Tsaralalana,Moramanga,NO,,NO,NO
52,06-Sep-19,dog,michou,,M,24,1000,TSARAHONENANA MORAMANGA,Tsaralalana,Moramanga,YES,17,01-Apr-18,NO
53,06-Sep-19,dog,malilo,,M,12,2000,MANGARIVOTRA MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
54,06-Sep-19,dog,vinitra,,M,6,1000,AMBODIAKONDRO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
55,06-Sep-19,dog,boule,,M,12,1500,ANTANAMANDROSO MORAMANGA,Tsaralalana,Moramanga,NO,,NO,NO
56,06-Sep-19,dog,balzaka,,M,4,1000,MORAMANGA AMBONY,Tsaralalana,Moramanga,NO,,NO,NO
