Date,Location,Commune,Long,Lat,People
23-Apr-18,Falierana,Andasibe,48.432239,-18.895329,7
19-Apr-18,Andasibe Ville,Andasibe,48.417341,-18.920353,7
21-Apr-18,Ampangalatsary,Andasibe,48.414716,-18.957177,7
22-Apr-18,Anevoka,Andasibe,48.464111,-18.948073,7
20-Apr-18,Andasifaha III,Andasibe,48.430403,-18.915922,7
24-Apr-18,Ambohitrapanga,Andasibe,48.341197,-18.852392,5
24-Apr-18,Maromahatsinjo,Andasibe,48.353117,-18.853754,5
17-Apr-18,Tsaralalana,Moramanga Ville,48.23118928,-18.94108921,9
17-Apr-18,Tsarahonenana,Moramanga Ville,48.23573935,-18.94333679,9
12-Apr-18,Ambohimadera,Moramanga Ville,48.22623473,-18.94223672,9
12-Apr-18,Tsarafasina,Moramanga Ville,48.22295861,-18.93900592,9
16-Apr-18,Moramanga  ville,Moramanga Ville,48.22930633,-18.94769187,10
18-Apr-18,Ambohitranjavidy,Moramanga Ville,48.23147411,-18.93117118,9
14-Apr-18,Ambarilava,Moramanga Ville,48.21267221,-18.93973229,6
15-Apr-18,Camps  des maries + Ambatolampy,Moramanga Ville,48.21953543,-18.94345879,10
13-Apr-18,Antanamandroso  Est,Moramanga Ville,48.22964581,-18.95089741,10
16-Apr-18,Moramanga  Ambony,Moramanga Ville,48.2368748,-18.95020234,9
18-Apr-18,Antanambao + Betambako,Moramanga Ville,48.229762,-18.931812,10
13-Apr-18,Ambodiakondro,Moramanga Ville,48.240177,-18.955435,9
14-Apr-18,Besimpona,Moramanga Ville,48.203431,-18.934897,6
14-Apr-18,Bemasoandro + Ambahibe,Moramanga Ville,48.218427,-18.937078,6
