Date,Fokontany,Location,AdultDogs,Puppies,Cats,Kittens,Roaming,WillingnessPay,Point,Commune
15-Apr-18,Camps des Maries,Campes des Maries,0,0,1,0,Fefy,15000,Camps des Maries,Moramanga
15-Apr-18,Camps des Maries,Campes des Maries,1,2,2,0,Fefy,15000,Camps des Maries,Moramanga
14-Apr-18,Ambarilava,Ambarilava,0,0,2,0,Fefy,12000,Ambarilava,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,1,0,1,0,Mireny,10000,Tsaralalana,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,0,1,1,0,Mireny,10000,Tsaralalana,Moramanga
17-Apr-18,Ambatolampy,Ambatolampy,3,0,1,0,Mireny,10000,Tsaralalana,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,1,0,0,0,Fefy,10000,Moramanga Ambony,Moramanga
16-Apr-18,Ambohimadera,Ambohimadera,0,1,0,0,Fefy,10000,Moramanga Ambony,Moramanga
16-Apr-18,Ambohimadera,Ambohimadera,1,0,0,0,Fefy,10000,Moramanga Ambony,Moramanga
15-Apr-18,Camps des Maries,Campes des Maries,1,1,0,0,Mifatotra,10000,Camps des Maries,Moramanga
18-Apr-18,Tanambao,Antanambao,1,0,1,0,An-trano/ Fefy,10000,Tanambao,Moramanga
18-Apr-18,Moramanga ville,Moramanga ville,0,0,1,0,An-trano/ Fefy,10000,Tanambao,Moramanga
18-Apr-18,Moramanga ville,Moramanga ville,2,0,0,0,An-trano/ Fefy,10000,Tanambao,Moramanga
16-Apr-18,Moramanga Ambony,Moramanga Ambony,1,0,0,0,Mifatotra,10000,Moramanga ville,Moramanga
16-Apr-18,Maroventy,Antanamandroso,1,0,1,0,Fefy,10000,Moramanga ville,Moramanga
16-Apr-18,Camps des Maries,Campes des Maries,1,0,0,0,Fefy,10000,Moramanga ville,Moramanga
16-Apr-18,Moramanga Ville,Moramanga ville,2,1,1,1,Mifatotra,10000,Moramanga ville,Moramanga
16-Apr-18,Moramanga Ville,Moramanga ville,1,0,0,0,Fefy,10000,Moramanga ville,Moramanga
16-Apr-18,Moramanga Ville,Moramanga ville,3,0,0,0,Fefy,10000,Moramanga ville,Moramanga
16-Apr-18,Moramanga Ville,Moramanga ville,0,1,0,0,Fefy,10000,Moramanga ville,Moramanga
16-Apr-18,Moramanga,Moramanga ville,1,0,0,0,Fefy,10000,Moramanga ville,Moramanga
12-Apr-18,Tsarafasina,Tsarafasina,1,0,0,0,Mireny,10000,Tsarafasina,Moramanga
14-Apr-18,Ambarilava,Ambarilava,2,0,0,0,Fefy,10000,Ambarilava,Moramanga
14-Apr-18,Ambarilava,Ambarilava,0,0,2,0,,10000,Ambarilava,Moramanga
14-Apr-18,Ambarilava,Ambarilava,2,0,0,0,Fefy,10000,Ambarilava,Moramanga
14-Apr-18,Ambarilava,Ambarilava,2,0,0,0,Fefy,10000,Ambarilava,Moramanga
14-Apr-18,Ambarilava,Ambarilava,1,0,0,0,Fefy,10000,Ambarilava,Moramanga
14-Apr-18,Ambarilava,Ambarilava,1,0,1,0,Fefy,10000,Ambarilava,Moramanga
14-Apr-18,Besimpona,Ambarilava,6,0,0,0,Fefy,10000,Ambarilava,Moramanga
13-Apr-18,Antanamandroso Ouest,Antanamandroso,1,0,0,0,Fefy,10000,Antanamandroso Est,Moramanga
13-Apr-18,Antanamandroso Est,Antanamandroso,1,0,0,0,Fefy,10000,Antanamandroso Est,Moramanga
17-Apr-18,Tsarahonenana,Tsarahonenana,1,0,0,0,Fefy,8000,Tsarahonenana,Moramanga
13-Apr-18,Ambodiakondro,Ambodiakondro,2,0,0,0,Fefy,8000,Ambodiakondro,Moramanga
17-Apr-18,Tsaralalana,Tsaralalana,1,0,0,0,Fefy,7000,Tsaralalana,Moramanga
16-Apr-18,Moramanga Ville,Moramanga ville,1,0,1,2,Mifatotra,6000,Moramanga ville,Moramanga
13-Apr-18,Antanamandroso Est,Antanamandroso,5,0,0,0,Fefy,6000,Antanamandroso Est,Moramanga
13-Apr-18,Antanamandroso Est,Antanamandroso,2,0,0,0,Fefy,6000,Antanamandroso Est,Moramanga
13-Apr-18,Antanamandroso Est,Antanamandroso,1,0,0,0,Fefy,6000,Antanamandroso Est,Moramanga
23-Apr-18,Falierana,Falierana,2,0,1,0,Mireny,5000,Falierana,Andasibe
21-Apr-18,Ampangalatsary,Ampangalatsary,0,0,3,0,Mireny,5000,Ampangalatsary,Andasibe
21-Apr-18,Ampangalatsary,Ampangalatsary,0,0,2,0,Mireny,5000,Ampangalatsary,Andasibe
21-Apr-18,Ampangalatsary,Ampangalatsary,1,0,0,0,Fefy,5000,Ampangalatsary,Andasibe
21-Apr-18,Ampangalatsary,Ampangalatsary,1,0,1,0,Fefy,5000,Ampangalatsary,Andasibe
21-Apr-18,Ampangalatsary,Ampangalatsary,0,0,1,0,Mireny,5000,Ampangalatsary,Andasibe
21-Apr-18,Ampangalatsary,Ampangalatsary,0,0,2,0,Fefy,5000,Ampangalatsary,Andasibe
21-Apr-18,Ampangalatsary,Ampangalatsary,2,0,1,0,Mireny,5000,Ampangalatsary,Andasibe
