Date,Location,Species,Sex,Age Category,Mark,Status,Notes,Observers,Commune
19-Apr-18,Andasibe,A,M,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,F,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,S,M,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,F,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,0,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,F,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,F,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,0,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,S,M,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,S,M,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,0,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,S,F,0,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,F,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,F,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,S,,1,N,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,F,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,F,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,F,1,Y,,,Jochem+Rado,Andasibe
19-Apr-18,Andasibe,A,M,1,Y,,,Jochem+Rado,Andasibe
18-Apr-18,Antanambao,A,F,1,,Fefy/Mireny,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,,0,,Fefy/Mireny,litter of puppies; fenced,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,,0,,Fefy/Mireny,litter of puppies; fenced,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,,0,,Fefy/Mireny,litter of puppies; fenced,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,,0,,Fefy/Mireny,litter of puppies; fenced,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,,0,,Fefy/Mireny,litter of puppies; fenced,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,M,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,S,M,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,M,1,N,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,M,1,N,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,F,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,M,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,F,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,S,F,0,N,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,M,1,,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,S,,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,F,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,S,M,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,S,F,0,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,F,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,F,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,F,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,M,1,N,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,S,F,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,S,M,1,,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,F,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Antanambao,A,M,1,Y,,,Carmen+Angelique,Moramanga
18-Apr-18,Ambohitranjavidy,A,M,1,Y,Fefy,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,S,,,,Fefy,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,A,M,1,Y,Mireny,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,A,M,1,Y,Mireny,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,S,F,1,N,Fefy,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,A,F,1,Y,Fefy,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,A,F,1,Y,Fefy,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,A,F,0,Y,Mifatotra,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,A,F,0,Y,Mifatotra,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,S,F,0,N,Fefy,,Zoavina,Moramanga
18-Apr-18,Ambohitranjavidy,A,M,1,Y,Fefy,,Zoavina,Moramanga
17-Apr-18,Tsarahonenana,A,F,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,S,F,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,0,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,1,N,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,0,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,0,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,,1,,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,1,N,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,S,F,1,N,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,0,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,1,N,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,1,N,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,M,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsarahonenana,A,F,1,Y,,,Jochem+Rado,Moramanga
17-Apr-18,Tsaralalana,A,F,1,Y,Mireny,,Angelique+Tsiky,Moramanga
17-Apr-18,Tsaralalana,A,F,0,N,Mireny,,Angelique+Tsiky,Moramanga
17-Apr-18,Tsaralalana,A,M,1,Y,Fefy,,Angelique+Tsiky,Moramanga
17-Apr-18,Tsaralalana,S,,1,N,Fefy,,Angelique+Tsiky,Moramanga
