Date,age_mos,Commune,Fokontany,Sex,year
06-Sep-19,12,Moramanga,Ambohimadera,M,2019
06-Sep-19,12,Moramanga,Antanamandroso ouest,M,2019
06-Sep-19,24,Moramanga,Moramanga ambony,M,2019
06-Sep-19,4,Moramanga,Moramanga ambony,F,2019
06-Sep-19,24,Moramanga,Antanamandroso Est,F,2019
06-Sep-19,10,Moramanga,Ambohimadera,F,2019
06-Sep-19,9,Moramanga,Antanamandroso ouest,M,2019
06-Sep-19,24,Moramanga,Antanamandroso ouest,F,2019
06-Sep-19,10,Moramanga,Tsaralalana,M,2019
06-Sep-19,4,Moramanga,TSARALALANA MORAMANGA,M,2019
06-Sep-19,6,Moramanga,TSARALALANA MORAMANGA,F,2019
06-Sep-19,36,Moramanga,AMBOHIMADERA MORAMANGA,M,2019
06-Sep-19,5,Moramanga,TSARAHONENANA MORAMANGA,M,2019
06-Sep-19,5,Moramanga,TSARAHONENANA MORAMANGA,F,2019
06-Sep-19,7,Moramanga,AMBOHIBE MORAMANGA,M,2019
06-Sep-19,5,Moramanga,AMBOHIBE MORAMANGA,M,2019
06-Sep-19,7,Moramanga,AMBOHIBE MORAMANGA,M,2019
06-Sep-19,12,Moramanga,AMBARILAVA,M,2019
06-Sep-19,12,Moramanga,AMBARILAVA,F,2019
06-Sep-19,18,Moramanga,ANTANAMANDROSO MORAMANGA,M,2019
06-Sep-19,10,Moramanga,AMBOHITRANJAVIDY MORAMANGA,M,2019
06-Sep-19,10,Moramanga,ANTANAMANDROSO MORAMANGA,M,2019
06-Sep-19,5,Moramanga,AMBARILAVA,M,2019
06-Sep-19,5,Moramanga,AMBARILAVA,F,2019
06-Sep-19,24,Moramanga,AMBARILAVA,F,2019
06-Sep-19,36,Moramanga,ANTANAMANDROSO MORAMANGA,M,2019
06-Sep-19,24,Moramanga,ANTANAMANDROSO MORAMANGA,F,2019
06-Sep-19,5,Moramanga,MORAMANGA AMBONY,M,2019
06-Sep-19,60,Moramanga,TSARAFASINA MORAMANGA,M,2019
06-Sep-19,12,Moramanga,MORANANGA VILLE,M,2019
06-Sep-19,12,Moramanga,MORANANGA VILLE,F,2019
06-Sep-19,24,Moramanga,Moramanga,M,2019
06-Sep-19,36,Moramanga,Moramanga,M,2019
06-Sep-19,24,Moramanga,MORAMANGA AMBONY,F,2019
06-Sep-19,4,Moramanga,MORAMANGA AMBONY,F,2019
06-Sep-19,60,Moramanga,TSARAMANDROSO  MORAMANGA,M,2019
06-Sep-19,7,Moramanga,Moramanga,F,2019
06-Sep-19,7,Moramanga,Moramanga,F,2019
06-Sep-19,24,Moramanga,TSARAHONENANA MORAMANGA,M,2019
06-Sep-19,12,Moramanga,MANGARIVOTRA MORAMANGA,M,2019
06-Sep-19,6,Moramanga,AMBODIAKONDRO MORAMANGA,M,2019
06-Sep-19,12,Moramanga,ANTANAMANDROSO MORAMANGA,M,2019
06-Sep-19,4,Moramanga,MORAMANGA AMBONY,M,2019
06-Sep-19,7,Moramanga,Moramanga,M,2019
06-Sep-19,5,Moramanga,Moramanga,M,2019
06-Sep-19,48,Moramanga,Moramanga,F,2019
06-Sep-19,24,Moramanga,MORAMANGA AMBONY,F,2019
06-Sep-19,12,Moramanga,MORAMANGA AMBONY,F,2019
06-Sep-19,24,Moramanga,TSARAFASINA MORAMANGA,M,2019
